ts,host,commit,np,key,winner,t_total_s,limit
2025-10-01T20:45:44-06:00,DiegoVal,c3c09ff,1,105734,786432,0.051531,268435456
2025-10-01T20:45:44-06:00,DiegoVal,c3c09ff,1,105734,786432,0.053188,268435456
2025-10-01T20:45:45-06:00,DiegoVal,c3c09ff,1,105734,786432,0.053944,268435456
2025-10-01T20:45:45-06:00,DiegoVal,c3c09ff,1,105734,786432,0.058784,268435456
2025-10-01T20:45:46-06:00,DiegoVal,c3c09ff,1,105734,0,0.058325,268435456
2025-10-01T20:45:46-06:00,DiegoVal,c3c09ff,2,105734,0,0.055470,268435456
2025-10-01T20:45:47-06:00,DiegoVal,c3c09ff,2,105734,786432,0.055954,268435456
2025-10-01T20:45:48-06:00,DiegoVal,c3c09ff,2,105734,786432,0.053951,268435456
2025-10-01T20:45:48-06:00,DiegoVal,c3c09ff,2,105734,786432,0.053714,268435456
2025-10-01T20:45:49-06:00,DiegoVal,c3c09ff,2,105734,0,0.054050,268435456
2025-10-01T20:45:49-06:00,DiegoVal,c3c09ff,4,105734,0,0.063442,268435456
2025-10-01T20:45:50-06:00,DiegoVal,c3c09ff,4,105734,786432,0.071245,268435456
2025-10-01T20:45:50-06:00,DiegoVal,c3c09ff,4,105734,786432,0.072927,268435456
2025-10-01T20:45:51-06:00,DiegoVal,c3c09ff,4,105734,786432,0.054119,268435456
2025-10-01T20:45:52-06:00,DiegoVal,c3c09ff,4,105734,0,0.065657,268435456
2025-10-01T20:45:52-06:00,DiegoVal,c3c09ff,8,105734,786432,0.067781,268435456
2025-10-01T20:46:19-06:00,DiegoVal,c3c09ff,8,105734,786432,0.072288,268435456
2025-10-01T20:45:54-06:00,DiegoVal,c3c09ff,8,105734,0,0.073658,268435456
2025-10-01T20:45:54-06:00,DiegoVal,c3c09ff,8,105734,786432,0.075268,268435456
2025-10-01T20:45:55-06:00,DiegoVal,c3c09ff,8,105734,0,0.066541,268435456
