ts,host,git,np,dist,cipher,run,time,rc,logfile
2025-10-07T18:14:11Z,Desktop-EZ,1d2ca7a,1,dynamic,middle,1,84.951343,0
results/.last_run_np_1_dynamic_middle_r1.log,,,,,,,,
2025-10-07T18:15:36Z,Desktop-EZ,1d2ca7a,1,dynamic,middle,2,85.697144,0
results/.last_run_np_1_dynamic_middle_r2.log,,,,,,,,
2025-10-07T18:17:02Z,Desktop-EZ,1d2ca7a,1,dynamic,middle,3,85.049616,0
results/.last_run_np_1_dynamic_middle_r3.log,,,,,,,,
2025-10-07T18:18:27Z,Desktop-EZ,1d2ca7a,1,dynamic,middle,4,85.156442,0
results/.last_run_np_1_dynamic_middle_r4.log,,,,,,,,
2025-10-07T18:19:53Z,Desktop-EZ,1d2ca7a,1,dynamic,middle,5,85.374141,0
results/.last_run_np_1_dynamic_middle_r5.log,,,,,,,,
2025-10-07T18:21:18Z,Desktop-EZ,1d2ca7a,1,dynamic,late,1,168.808117,0
results/.last_run_np_1_dynamic_late_r1.log,,,,,,,,
2025-10-07T18:24:08Z,Desktop-EZ,1d2ca7a,1,dynamic,late,2,168.404014,0
results/.last_run_np_1_dynamic_late_r2.log,,,,,,,,
2025-10-07T18:26:56Z,Desktop-EZ,1d2ca7a,1,dynamic,late,3,167.271304,0
results/.last_run_np_1_dynamic_late_r3.log,,,,,,,,
2025-10-07T18:29:44Z,Desktop-EZ,1d2ca7a,1,dynamic,late,4,168.974040,0
results/.last_run_np_1_dynamic_late_r4.log,,,,,,,,
2025-10-07T18:32:33Z,Desktop-EZ,1d2ca7a,1,dynamic,late,5,168.958427,0
results/.last_run_np_1_dynamic_late_r5.log,,,,,,,,
2025-10-07T18:35:22Z,Desktop-EZ,1d2ca7a,2,block,early,1,1.969083,0
results/.last_run_np_2_block_early_r1.log,,,,,,,,
2025-10-07T18:35:25Z,Desktop-EZ,1d2ca7a,2,block,early,2,1.981432,0
results/.last_run_np_2_block_early_r2.log,,,,,,,,
2025-10-07T18:35:27Z,Desktop-EZ,1d2ca7a,2,block,early,3,1.942682,0
results/.last_run_np_2_block_early_r3.log,,,,,,,,
2025-10-07T18:35:29Z,Desktop-EZ,1d2ca7a,2,block,early,4,1.920099,0
results/.last_run_np_2_block_early_r4.log,,,,,,,,
2025-10-07T18:35:31Z,Desktop-EZ,1d2ca7a,2,block,early,5,1.964554,0
results/.last_run_np_2_block_early_r5.log,,,,,,,,
2025-10-07T18:35:34Z,Desktop-EZ,1d2ca7a,2,block,middle,1,NA,0
results/.last_run_np_2_block_middle_r1.log,,,,,,,,
2025-10-07T18:35:34Z,Desktop-EZ,1d2ca7a,2,block,middle,2,NA,0
results/.last_run_np_2_block_middle_r2.log,,,,,,,,
2025-10-07T18:35:34Z,Desktop-EZ,1d2ca7a,2,block,middle,3,NA,0
results/.last_run_np_2_block_middle_r3.log,,,,,,,,
2025-10-07T18:35:35Z,Desktop-EZ,1d2ca7a,2,block,middle,4,NA,0
results/.last_run_np_2_block_middle_r4.log,,,,,,,,
2025-10-07T18:35:35Z,Desktop-EZ,1d2ca7a,2,block,middle,5,NA,0
results/.last_run_np_2_block_middle_r5.log,,,,,,,,
2025-10-07T18:35:35Z,Desktop-EZ,1d2ca7a,2,block,late,1,90.242437,0
results/.last_run_np_2_block_late_r1.log,,,,,,,,
2025-10-07T18:37:06Z,Desktop-EZ,1d2ca7a,2,block,late,2,89.802571,0
results/.last_run_np_2_block_late_r2.log,,,,,,,,
2025-10-07T18:38:36Z,Desktop-EZ,1d2ca7a,2,block,late,3,88.595366,0
results/.last_run_np_2_block_late_r3.log,,,,,,,,
2025-10-07T18:40:05Z,Desktop-EZ,1d2ca7a,2,block,late,4,89.198818,0
results/.last_run_np_2_block_late_r4.log,,,,,,,,
2025-10-07T18:41:34Z,Desktop-EZ,1d2ca7a,2,block,late,5,89.073047,0
results/.last_run_np_2_block_late_r5.log,,,,,,,,
2025-10-07T18:43:04Z,Desktop-EZ,1d2ca7a,2,interleaved,early,1,1.122402,0
results/.last_run_np_2_interleaved_early_r1.log,,,,,,,,
2025-10-07T18:43:05Z,Desktop-EZ,1d2ca7a,2,interleaved,early,2,1.045312,0
results/.last_run_np_2_interleaved_early_r2.log,,,,,,,,
2025-10-07T18:43:07Z,Desktop-EZ,1d2ca7a,2,interleaved,early,3,1.107790,0
results/.last_run_np_2_interleaved_early_r3.log,,,,,,,,
2025-10-07T18:43:08Z,Desktop-EZ,1d2ca7a,2,interleaved,early,4,1.074958,0
results/.last_run_np_2_interleaved_early_r4.log,,,,,,,,
2025-10-07T18:43:09Z,Desktop-EZ,1d2ca7a,2,interleaved,early,5,1.041589,0
results/.last_run_np_2_interleaved_early_r5.log,,,,,,,,
2025-10-07T18:43:11Z,Desktop-EZ,1d2ca7a,2,interleaved,middle,1,45.574357,0
results/.last_run_np_2_interleaved_middle_r1.log,,,,,,,,
2025-10-07T18:43:57Z,Desktop-EZ,1d2ca7a,2,interleaved,middle,2,45.500296,0
results/.last_run_np_2_interleaved_middle_r2.log,,,,,,,,
2025-10-07T18:44:42Z,Desktop-EZ,1d2ca7a,2,interleaved,middle,3,45.748359,0
results/.last_run_np_2_interleaved_middle_r3.log,,,,,,,,
2025-10-07T18:45:28Z,Desktop-EZ,1d2ca7a,2,interleaved,middle,4,45.509893,0
results/.last_run_np_2_interleaved_middle_r4.log,,,,,,,,
2025-10-07T18:46:14Z,Desktop-EZ,1d2ca7a,2,interleaved,middle,5,46.305350,0
results/.last_run_np_2_interleaved_middle_r5.log,,,,,,,,
2025-10-07T18:47:01Z,Desktop-EZ,1d2ca7a,2,interleaved,late,1,89.842397,0
results/.last_run_np_2_interleaved_late_r1.log,,,,,,,,
