np,runs,t_median_s,t_p10_s,t_p90_s,speedup,efficiency_pct
1,5,0.053944,0.051531,0.058325,1.000000,100.00
2,5,0.054050,0.053714,0.055470,0.998039,49.90
4,5,0.065657,0.054119,0.071245,0.821603,20.54
8,5,0.072288,0.066541,0.073658,0.746237,9.33
